Unnamed: 0,FTHG,FTAG,FTR,HST,AST,HC,AC,B365H,B365D,B365A,HC.1,AC.1,HF,AF,B365>2.5,B365<2.5,Date,Home_xG,Away_xG,FTR_encoded,FTR_A,FTR_D,FTR_H,ProbH,ProbD,ProbA,ShotDiff,CornerDiff,FoulDiff,xGDiff,Norm_ShotDiff,Norm_CornerDiff,Norm_FoulDiff,Norm_xGDiff
1587,0,2,A,3,6,3,5,1.5,4.33,8.0,3,5,9,8,,,2018-11-25,0.8,0.7,0,1,0,0,0.6519243436529595,0.22583984191211068,0.12223581443492991,-3,-2,1,0.10000000000000009,-0.9489645673630455,-0.6277284824463426,0.25933295933380063,-0.12851263270243846
1588,1,2,A,4,3,5,5,2.9,3.2,2.75,5,5,6,11,,,2018-11-26,1.8,1.6,0,1,0,0,0.3377470734983689,0.3060832853578968,0.35616964114373445,1,0,-5,0.19999999999999996,0.06610381546442758,-0.2115711108634663,-1.024688457600369,-0.05050954940566507
1589,2,1,H,3,4,7,6,3.8,3.25,2.2,7,6,3,12,,,2018-11-30,1.0,0.8,2,0,0,1,0.25664034458004303,0.30007178750897345,0.44328786791098346,-1,1,-9,0.19999999999999996,-0.44143037594930895,-0.003492425072028173,-1.8807027355564818,-0.05050954940566507
1590,2,0,H,9,0,10,2,1.61,3.9,6.5,10,2,9,10,,,2018-12-01,1.6,0.7,2,0,0,1,0.6022235948116119,0.24861025324274244,0.14916615194564545,9,8,-1,0.9000000000000001,2.096240581119374,1.4530583754680386,-0.1686741796442559,0.49551203367174945
1591,1,2,A,2,6,2,6,2.5,3.0,3.4,2,6,10,12,,,2018-12-01,0.6,1.2,0,1,0,0,0.3893129770992366,0.32442748091603046,0.2862595419847328,-4,-4,-2,-0.6,-1.2027316630699136,-1.0438858540292189,-0.3826777491332842,-0.6745342157798528
1592,2,0,H,3,0,4,8,2.25,3.3,3.6,4,8,7,6,,,2018-12-01,1.3,1.2,2,0,0,1,0.43349753694581283,0.29556650246305427,0.27093596059113306,3,-4,1,0.10000000000000009,0.573638006878164,-1.0438858540292189,0.25933295933380063,-0.12851263270243846
1593,3,1,H,6,1,8,4,1.11,11.0,26.0,8,4,9,3,,,2018-12-01,2.6,0.6,2,0,0,1,0.8744305500351607,0.08823799186718441,0.037331458097654945,5,4,6,2.0,1.0811721982919007,0.6207436323022862,1.329350806778942,1.3535459499362577
1594,0,3,A,4,4,7,3,2.5,3.3,3.1,7,3,10,10,,,2018-12-01,1.0,2.5,0,1,0,0,0.39001143728555093,0.2954632100648113,0.3145253526496378,0,4,0,-1.5,-0.1876632802424407,0.6207436323022862,0.045329389844772354,-1.3765619654508143
1595,2,2,D,6,5,3,5,4.33,3.6,1.95,3,5,12,13,,,2018-12-01,0.7,1.1,1,0,1,0,0.2260760349741558,0.2719192309550263,0.5020047340708178,1,-2,-1,-0.40000000000000013,0.06610381546442758,-0.6277284824463426,-0.1686741796442559,-0.518528049186306
1598,1,0,H,3,3,8,1,1.4,5.0,9.0,8,1,12,7,,,2018-12-02,2.9,1.1,2,0,0,1,0.696594427244582,0.19504643962848295,0.10835913312693496,0,7,5,1.7999999999999998,-0.1876632802424407,1.2449796896766006,1.1153472372899136,1.1975397833427104
1596,4,2,H,7,6,8,5,2.62,3.6,2.75,8,5,15,17,,,2018-12-02,2.7,1.2,2,0,0,1,0.37306402381580434,0.27150770622150205,0.3554282699626936,1,3,-2,1.5000000000000002,0.06610381546442758,0.4126649465108481,-0.3826777491332842,0.9635305334523905
1597,2,0,H,9,4,4,6,1.18,8.0,17.0,4,6,8,17,,,2018-12-02,2.1,0.4,2,0,0,1,0.8217522658610272,0.12120845921450152,0.0570392749244713,5,-2,-9,1.7000000000000002,1.0811721982919007,-0.6277284824463426,-1.8807027355564818,1.1195367000459373
1599,2,1,H,2,6,4,8,1.66,3.8,6.0,4,8,14,11,,,2018-12-04,0.9,1.8,2,0,0,1,0.5835978294256168,0.25494010443329573,0.1614620661410873,-4,-4,3,-0.9,-1.2027316630699136,-1.0438858540292189,0.687340098311857,-0.9085434656701734
1600,3,1,H,3,5,4,5,3.0,3.1,2.7,4,5,14,12,,,2018-12-04,1.3,1.7,2,0,0,1,0.3247962747380675,0.31431897555296856,0.3608847497089639,-2,-1,2,-0.3999999999999999,-0.6951974716561772,-0.41964979665490443,0.47333652882282884,-0.5185280491863059
1601,1,2,A,7,7,3,11,11.0,6.0,1.3,3,11,4,8,,,2018-12-04,1.8,2.5,0,1,0,0,0.08853575482406358,0.1623155505107832,0.7491486946651532,0,-8,-4,-0.7,-0.1876632802424407,-1.8762005971949716,-0.8106848881113408,-0.7525372990766264
1602,3,1,H,11,5,10,4,1.66,4.0,5.75,10,4,10,10,,,2018-12-04,1.7,2.1,2,0,0,1,0.5869592956488452,0.24358810769427075,0.169452596656884,6,6,0,-0.40000000000000013,1.334939293998769,1.0369010038851625,0.045329389844772354,-0.518528049186306
1603,1,3,A,6,12,5,9,14.0,5.75,1.28,5,9,10,3,,,2018-12-05,0.9,2.4,0,1,0,0,0.06957837020230667,0.16940820570996407,0.7610134240877292,-6,-4,7,-1.5,-1.7102658544836502,-1.0438858540292189,1.5433543762679702,-1.3765619654508143
1604,1,1,D,3,5,14,2,1.6,4.0,6.5,14,2,7,18,,,2018-12-05,1.8,1.5,1,0,1,0,0.6074766355140188,0.2429906542056075,0.14953271028037385,-2,12,-11,0.30000000000000004,-0.6951974716561772,2.285373118633791,-2.3087098745345385,0.02749353389110848
1605,1,1,D,7,5,10,8,3.0,3.5,2.45,10,8,12,7,,,2018-12-05,1.4,1.2,1,0,1,0,0.32450331125827814,0.2781456953642384,0.39735099337748336,2,2,5,0.19999999999999996,0.3198709111712958,0.20458626071940997,1.1153472372899136,-0.05050954940566507
1606,2,2,D,7,4,4,4,2.45,3.5,3.0,4,4,13,10,,,2018-12-05,1.1,1.1,1,0,1,0,0.3973509933774835,0.27814569536423844,0.3245033112582782,3,0,3,0.0,0.573638006878164,-0.2115711108634663,0.687340098311857,-0.206515715999212
1607,3,1,H,8,5,8,6,1.36,5.25,9.5,8,6,7,5,,,2018-12-05,1.6,1.7,2,0,0,1,0.7131622220633446,0.18474297562021877,0.1020948023164367,3,2,2,-0.09999999999999987,0.573638006878164,0.20458626071940997,0.47333652882282884,-0.2845187992959854
1608,2,1,H,2,3,1,5,5.0,3.75,1.8,1,5,18,10,,,2018-12-05,0.7,1.3,2,0,0,1,0.19565217391304351,0.2608695652173913,0.5434782608695653,-1,-4,8,-0.6000000000000001,-0.44143037594930895,-1.0438858540292189,1.7573579457569986,-0.674534215779853
1616,3,2,H,6,4,5,3,2.3,3.4,3.4,5,3,10,8,,,2018-12-08,1.2,0.7,2,0,0,1,0.425,0.2875,0.2875,2,2,2,0.5,0.3198709111712958,0.20458626071940997,0.47333652882282884,0.18349970048465541
1615,4,1,H,11,4,10,3,1.33,5.75,10.0,10,3,11,15,,,2018-12-08,2.3,1.2,2,0,0,1,0.7329742821632302,0.1695401383090602,0.09748557952770963,7,7,-4,1.0999999999999999,1.5887063897056373,1.2449796896766006,-0.8106848881113408,0.6515182002652962
1610,0,4,A,2,4,6,6,5.75,4.5,1.6,6,6,9,11,,,2018-12-08,0.3,1.6,0,1,0,0,0.17031342400946187,0.21762270845653459,0.6120638675340035,-2,0,-2,-1.3,-0.6951974716561772,-0.2115711108634663,-0.3826777491332842,-1.2205557988572673
1613,2,0,H,5,4,1,13,4.0,3.8,1.95,1,13,12,11,,,2018-12-08,0.6,0.9,2,0,0,1,0.24366984544557713,0.25649457415323906,0.4998355804011839,1,-12,1,-0.30000000000000004,0.06610381546442758,-2.7085153403607243,0.25933295933380063,-0.4405249658895325
1612,1,0,H,4,1,7,7,2.9,3.25,2.7,7,7,9,10,,,2018-12-08,1.5,0.7,2,0,0,1,0.3371110257395314,0.3008067614291203,0.36208221283134845,3,0,-1,0.8,0.573638006878164,-0.2115711108634663,-0.1686741796442559,0.41750895037497593
1609,1,0,H,2,0,7,1,1.28,6.0,12.0,7,1,13,20,,,2018-12-08,1.4,0.3,2,0,0,1,0.7575757575757576,0.1616161616161616,0.0808080808080808,2,6,-7,1.0999999999999999,0.3198709111712958,1.0369010038851625,-1.4526955965784256,0.6515182002652962
1614,0,2,A,3,2,6,5,3.8,3.75,2.0,6,5,12,7,,,2018-12-08,0.4,0.9,0,1,0,0,0.25553662691652473,0.2589437819420784,0.485519591141397,1,1,5,-0.5,0.06610381546442758,-0.003492425072028173,1.1153472372899136,-0.5965311324830794
